Number,Hanzi,Pinyin,English,Part of Speech,First PoS,Eng pos,Level,Levels,example1_chinese,example1_pinyin,example1_english,example2_chinese,example2_pinyin,example2_english,example3_chinese,example3_pinyin,example3_english
1025,本来,běnlái,originally; at first,形、副,形 adj.,adjective; adverb,4,4,我们本来应该留在家里的。,Wǒmen běnlái yīnggāi liúzài jiālǐ de.,We should've stayed at home.,我本来应该读一下这本书。,Wǒ běnlái yīnggāi dú yíxià zhè běnshū.,Of course I should read this book.,本来这间房间里没有家具。,Běnlái zhè jiān fángjiān lǐ méiyǒu jiājù.,The room originally had no furniture.
1026,笨,bèn,stupid; foolish,形,形 adj.,adjective,4,4,换句话说，你很笨。,Huànjùhuàshuō; nǐ hěn bèn.,In other words; you're stupid.,你这个人真是傻瓜一个，这么笨！,Nǐ zhège rén zhēnshì shǎguā yígè; zhème bèn!,You really are an idiot. You're so stupid!,汤姆绝不是笨。他只是懒而已。,Tāngmǔ juébú shì bèn. tā zhǐshì lǎn éryǐ.,Tom's definitely not stupid. He's just lazy.
1027,鼻子,bízi,nose,名,名 n.,noun,4,4,她大惊小怪地皱了皱鼻子。,Tā dàjīngxiǎoguài dì zhòu le zhòu bízi.,She squeamishly wrinkled her nose.,他的鼻子看起来像土豆。,Tā de bízi kànqǐlái xiàng tǔdòu.,His nose looks like a potato.,他的鼻子上长了一个小疙瘩。,Tā de bízi shàng zhǎng le yígè xiǎo gēda.,On his nose grew a small pimple.
1028,笔试,bǐshì,written examination; paper test (for an applicant),动,动 v.,verb,4,4,这次考试包括笔试和口试。,Zhècì kǎoshì bāokuò bǐshì hé kǒushì.,This exam includes a written test and an oral test.,笔试结束后还要参加面试。,Bǐshì jiéshù hòu háiyào cānjiā miànshì.,After the written exam; there is still an interview.,他在笔试中取得了好成绩。,Tā zài bǐshì zhōng qǔdé le hǎo chéngjì.,He earned a good score on the written test.
1029,毕业,bìyè,graduation; to graduate,动,动 v.,verb,4,4,我爸爸是哈佛大学毕业的。,Wǒ bàbà shì hāfúdàxué bìyè de.,My father graduated from Harvard University.,您是从哪个学校毕业的？,Nín shìcóng nǎge xuéxiào bìyè de?,From what school did you graduate?,你哪一年从学校毕业的？,Nǐ nǎyìnián cóng xuéxiào bìyè de?,What year did you finish from school?
1030,毕业生,bìyèshēng,graduate,名,名 n.,noun,4,4,很多毕业生正在找工作。,Hěnduō bìyèshēng zhèngzài zhǎo gōngzuò.,Many graduates are looking for work.,学校为毕业生举行了典礼。,Xuéxiào wèi bìyèshēng jǔxíng le diǎnlǐ.,The school held a ceremony for the graduates.,她是今年最优秀的毕业生之一。,Tā shì jīnnián zuì yōuxiù de bìyèshēng zhīyī.,She is one of this year’s most outstanding graduates.
1031,便于,biànyú,easy to; convenient for,动,动 v.,verb,4,4,这个表格便于大家填写。,Zhège biǎogé biànyú dàjiā tiánxiě.,This form is easy for everyone to complete.,说明写得很清楚，便于理解。,Shuōmíng xiě dé hěn qīngchǔ; biànyú lǐjiě.,The instructions are clearly written and easy to understand.,小包装便于旅行时携带。,Xiǎobāozhuāng biànyú lǚxíng shí xiédài.,Small packages are convenient to carry while traveling.
1032,标准,biāozhǔn,standard; norm,名、形,名 n.,noun; adjective,4,4,这不是标准的英式读法。,Zhè búshì biāozhǔn de yīngshì dúfǎ.,That's not standard English pronunciation.,我的丹麦语发音不是很标准。,Wǒ de dānmàiyǔ fāyīn búshì hěn biāozhǔn.,My Danish pronunciation is not very accurate.,你必须得学标准英语。,Nǐ bìxū dé xué biāozhǔn yīngyǔ.,You have to learn standard English.
1033,表,biǎo,exterior surface; a model,名、（动）,名 n.,noun; verb,4,4（7-9）,我把爸爸给我的表弄丢了。,Wǒ bǎ bàbà gěi wǒ de biǎo nòng diū le.,I lost the watch dad gave me.,我叔叔给了我这支表。,Wǒ shūshū gěi le wǒ zhè zhī biǎo.,My uncle gave me the watch.,让我们校对一下表吧。,Ràng wǒmen jiàoduì yíxià biǎo ba.,Let's synchronize our watches.
1034,表格,biǎogé,form; table,名,名 n.,noun,4,4,你能教我怎么填这份表格吗？,Nǐ néng jiào wǒ zěnme tián zhèfèn biǎogé ma?,Can you tell me how to fill in this form?,确保亲自填写注册表格。,Quèbǎo qīnzì tiánxiě zhùcè biǎogé.,Be sure to fill out the registration form in person.,您只需填写这个表格就可以了。,Nín zhǐ xū tiánxiě zhège biǎogé jiù kěyǐ le.,All you have to do is fill in this form.
1035,表示,biǎoshì,to express; to show,动,动 v.,verb,4,4,他对这个计划表示了兴趣。,Tā duì zhège jìhuà biǎoshì le xìngqù.,He showed interest in the plan.,居民们对噪音表示了不满。,Jūmín men duì zàoyīn biǎoshì le bùmǎn.,The residents expressed their dissatisfaction at the noise.,微笑并不一定表示高兴。,Wēixiào bìngbùyídìng biǎoshì gāoxìng.,Smiles do not always indicate pleasure.
1036,表现,biǎoxiàn,to show off; to display,动,动 v.,verb,4,4,他的工作表现得很不细心。,Tā de gōngzuò biǎoxiàn dé hěn bú xìxīn.,His work showed carelessness.,我想你表现我怎么做那个。,Wǒ xiǎng nǐ biǎoxiàn wǒ zěnme zuò nàge.,I want you to show me how to do that.,有时候成人表现得像儿童。,Yǒushíhòu chéngrén biǎoxiàn dé xiàng értóng.,Sometimes adults behave like children.
1037,表扬,biǎoyáng,to praise; to commend,动,动 v.,verb,4,4,老师表扬了进步最快的学生。,Lǎoshī biǎoyáng le jìnbù zuìkuài de xuéshēng.,The teacher praised the student who improved the fastest.,她因为工作认真受到表扬。,Tā yīnwèi gōngzuò rènzhēn shòudào biǎoyáng.,She was praised for working carefully.,孩子做得好时应该及时表扬。,Háizi zuòdéhǎo shí yīnggāi jíshí biǎoyáng.,Children should be praised promptly when they do well.
1038,饼干,bǐnggān,biscuit; cracker,名,名 n.,noun,4,4,我觉得我们需要更多饼干。,Wǒ juéde wǒmen xūyào gèng duō bǐnggān.,I think we need more biscuits.,你不可能吃完所有的饼干。,Nǐ bù kěnéng chī wán suǒyǒu de bǐnggān.,You cannot eat all the cookies.,所有饼干都是星星的形状。,Suǒyǒu bǐnggān dōu shì xīngxīng de xíngzhuàng.,All of the cookies are in the shape of stars.
1039,并,bìng,and; furthermore,动、副、连,动 v.,verb; adverb; conjunction,4,4,生活并不都是轻松愉快的。,Shēnghuó bìng bù dōu shì qīngsōngyúkuài de.,Life is not all fun and games.,我的新鞋子并不是很合脚。,Wǒ de xīn xiézi bìng búshì hěn héjiǎo.,My new shoes don't fit very well.,你的理论并没有科学根据。,Nǐ de lǐlùn bìng méiyǒu kēxué gēnjù.,Your theory has no scientific basis.
1040,并且,bìngqiě,and; besides,连,连 conj.,conjunction,4,4,我很惊讶，并且感到难过。,Wǒ hěn jīngyà; bìngqiě gǎndào nánguò.,I was surprised and became sad.,我一直这么认为并且坚持。,Wǒ yìzhí zhème rènwéi bìngqiě jiānchí.,I've always believed in and insisted on this.,他卖掉了他的事业并且退休。,Tā màidiào le tā de shìyè bìngqiě tuìxiū.,He sold his business and retired.
1041,播放,bōfàng,to broadcast; to transmit (by radio or TV),动,动 v.,verb,4,4,电视台正在播放新闻。,Diànshìtái zhèngzài bōfàng xīnwén.,The television station is broadcasting the news.,请播放下一段录音。,Qǐng bōfàng xià yíduàn lùyīn.,Please play the next recording.,这首歌已经播放了三次。,Zhè shǒugē yǐjīng bōfàng le sāncì.,This song has already been played three times.
1042,博士,bóshì,doctorate; PhD,名,名 n.,noun,4,4,预定在一点半与博士见面。,Yùdìng zài yìdiǎnbàn yǔ bóshì jiànmiàn.,I planned to meet the professor at 1:30.,我正在在波士顿读博士。,Wǒ zhèngzài zài bōshìdùn dú bóshì.,I'm in Boston going for my Ph.D. right now.,我可以把你介绍给强森博士吗?,Wǒ kěyǐ bǎ nǐ jièshào gěi qiáng sēn bóshì ma?,May I introduce you to Dr. Johnson?
1043,不必,búbì,need not; not necessarily,副,副 adv.,adverb,4,4,您现在不必购买任何东西。,Nín xiànzài búbì gòumǎi rènhé dōngxī.,You don't have to buy anything right now.,你不必什么都非得自己来。,Nǐ búbì shénme dōu fēiděi zìjǐ lái.,You shouldn't try to do everything by yourself.,蜡烛出去，而不必被扑灭。,Làzhú chūqù; ér búbì bèi pūmiè.,The candle went out instead of having been put out.
1044,不便,búbiàn,inconvenient; inappropriate,形、动,形 adj.,adjective; verb,4,4,现在说话不便，我晚点儿回你。,Xiànzài shuōhuà búbiàn; wǒ wǎn diǎnér huí nǐ.,It is not convenient to talk now; I will reply later.,腿受伤后，他行动不便。,Tuǐ shòushāng hòu; tā xíngdòngbúbiàn.,After injuring his leg; he had difficulty moving around.,如有不便，请提前告诉我们。,Rú yǒu búbiàn; qǐng tíqián gàosù wǒmen.,Please tell us in advance if this causes any inconvenience.
1045,不断,búduàn,unceasing; uninterrupted,动、副,动 v.,verb; adverb,4,4,她不断在房间里走来走去。,Tā búduàn zài fángjiān lǐ zǒuláizǒuqù.,She kept walking about the room.,不断前进，不断向上。,Búduànqiánjìn; búduàn xiàngshàng.,Onwards and upwards.,请不断给我们更新。,Qǐng búduàn gěi wǒmen gēngxīn.,Keep us updated.
1046,不够,búgòu,not enough; insufficient,动、副,动 v.,verb; adverb,4,4,绳子不够牢固，撑不住他。,Shéngzi búgòu láogù; chēngbúzhù tā.,The rope wasn't strong enough to support him.,死一千次也不够他应受的。,Sǐ yìqiāncì yě búgòu tā yīng shòu de.,A thousand deaths will still be less than he deserves.,一种语言是永远不够的。,Yìzhǒng yǔyán shì yǒngyuǎn búgòu de.,One language is never enough.
1047,不过,búguò,only; merely,连、（副）,连 conj.,conjunction; adverb,4,4（5）,不过是一个文字游戏罢了。,Búguò shì yígè wénzìyóuxì bàle.,It's just a pun.,他不过是个无名小卒而已。,Tā búguò shì gè wúmíngxiǎozú éryǐ.,He is just a Mr Nobody.,有是有的，不过远了一点。,Yǒu shì yǒu de; búguò yuǎn le yìdiǎn.,There is one; but it's a little far.
1048,不论,búlùn,whatever; no matter what,连,连 conj.,conjunction,4,4,不论他来或不来，我都会去。,Búlùn tā lái huò bù lái; wǒ dū huì qù.,Whether he comes or not; I'll go.,不论去哪，我都会迷路。,Búlùn qù nǎ; wǒ dū huì mílù.,Wherever I may go; I will get lost.,不论怎么样，雨一停我就走。,Búlùn zěnmeyàng; yǔ yì tíng wǒ jiù zǒu.,No matter what; I'm leaving when the rain stops.
1049,步,bù,a step; a pace,名,名 n.,noun,4,4,我们在公园里跑了步。,Wǒmen zài gōngyuán lǐ pǎo le bù.,We ran in the park.,我去公园散了步。,Wǒ qù gōngyuán sàn le bù.,I went for a walk in the park.,从出生的一刻开始，我们就在步向死亡。,Cóng chūshēng de yíkè kāishǐ; wǒmen jiù zài bù xiàng sǐwáng.,As soon as man is born; he begins to die.
1050,部,bù,ministry; department,名、量,名 n.,noun; measure word,4,4,他买了部不错的相机给我。,Tā mǎi le bù búcuò de xiàngjī gěi wǒ.,He bought me a nice camera.,你从来没看过那部电影吗？,Nǐ cónglái méi kànguò nà bù diànyǐng ma?,Have you never seen that movie?,我昨天看了部很棒的电影。,Wǒ zuótiān kàn le bù hěnbàng de diànyǐng.,I watched a great movie yesterday.
1051,不得不,bùdébù,cannot but; have to,副,副 adv.,adverb,4,4,他不得不打扫了他的房间。,Tā bùdébù dǎsǎo le tā de fángjiān.,He had to clean his room.,这些都是你不得不做的吗？,Zhèxiē dōu shì nǐ bùdébú zuò de ma?,Is that all you have to do?,衰老不得，智慧不得不得。,Shuāilǎo bùdé; zhìhuì bùdébù dé.,Don't get older; get wiser.
1052,部分,bùfen,part; share,名,名 n.,noun,4,4,他没说到关于他的那部分。,Tā méishuōdào guānyú tā de nà bùfèn.,He kept back the part about himself.,你来自加拿大哪个部分？,Nǐ láizì jiānádà nǎge bùfèn?,What part of Canada are you from?,他把苹果分成两部分。,Tā bǎ píngguǒ fēnchéng liǎng bùfèn.,He cut the apple in half.
1053,不管,bùguǎn,regardless of; no matter,连,连 conj.,conjunction,4,4,不管结果如何，他想要做。,Bùguǎn jiéguǒ rúhé; tā xiǎngyào zuò.,He wanted to do it; whatever the consequences.,我不管你说， 我恨你！,Wǒ bùguǎn nǐ shuō; wǒ hèn nǐ!,I don't care what you say; I hate you!,不管你做什么都要尽全力。,Bùguǎn nǐ zuò shénme dōu yào jìnquánlì.,No matter what you do you must always do it to the best of your ability.
1054,不光,bùguāng,not only; not the only one,副、连,副 adv.,adverb; conjunction,4,4,她不光会说中文，还会说日语。,Tā bùguānghuì shuō zhōngwén; hái huì shuō rìyǔ.,She not only speaks Chinese; but also Japanese.,这份工作不光需要经验，也需要耐心。,Zhèfèn gōngzuò bùguāng xūyào jīngyàn; yě xūyào nàixīn.,This job requires not only experience but also patience.,不光学生喜欢这门课，老师也喜欢。,Bùguāng xuéshēng xǐhuān zhè mén kè; lǎoshī yě xǐhuān.,Not only the students but also the teachers like this course.
1055,不仅,bùjǐn,not just; not limited to,连,连 conj.,conjunction,4,4,他不仅有学识还有经验。,Tā bùjǐn yǒu xuéshí háiyǒu jīngyàn.,He has not only learning but experience.,不仅他们，连我也被老师罚了。,Bùjǐn tāmen; lián wǒ yě bèi lǎoshī fá le.,Not only they but also I was scolded by the teacher.,她不仅擅长跑步，也擅长唱歌。,Tā bùjǐn shàncháng pǎobù; yě shàncháng chànggē.,She is not only good at running; she is also good at singing.
1056,不满,bùmǎn,resentful; discontented,形,形 adj.,adjective,4,4,居民们对噪音表示了不满。,Jūmín men duì zàoyīn biǎoshì le bùmǎn.,The residents expressed their dissatisfaction at the noise.,民间运动表达了民间的不满。,Mínjiān yùndòng biǎodá le mínjiān de bùmǎn.,Popular movements express popular displeasure.,她的言论引起了舆论的不满。,Tā de yánlùn yǐnqǐ le yúlùn de bùmǎn.,Her remarks caused dissatisfaction in the public.
1057,部门,bùmén,department; branch,名,名 n.,noun,4,4,在我的部门里有七男四女。,Zài wǒ de bùmén lǐ yǒu qī nán sì nǚ.,There are seven men and four women in my section.,那两个部门有时候意见相左。,Nà liǎnggè bùmén yǒushíhòu yìjiàn xiāngzuǒ.,Those two departments are sometimes at odds with each other.,他是我部门的主管。,Tā shì wǒ bùmén de zhǔguǎn.,He is the chief of my department.
1058,不如,bùrú,not equal to; inferior to,动,动 v.,verb,4,4,金窝银窝不如自己的狗窝。,Jīnwōyín wō bùrú zìjǐ de gǒuwō.,There is no place like home.,对我来说，质量不如数量。,Duì wǒ láishuō; zhìliàng bùrú shùliàng.,I put quantity after quality.,我们不如唱那首英语歌吧！,Wǒmen bùrú chàng nà shǒu yīngyǔgē ba!,I think we'd better sing that English song!
1059,擦,cā,to rub; to scratch,动,动 v.,verb,4,4,把架子上的灰尘擦一下。,Bǎ jiàzi shàng de huīchén cā yíxià.,Clean the dust off the shelf.,他擦去了脸上的汗水。,Tā cā qù le liǎnshàng de hànshuǐ.,He wiped the sweat from his face.,我在擦鞋垫下面发现了这把钥匙。,Wǒ zài cā xiédiàn xiàmiàn fāxiàn le zhè bǎ yàoshi.,I found the key underneath the mat.
1060,猜,cāi,to guess,动,动 v.,verb,4,4,没有人能猜得准她的年龄。,Méiyǒu rén néng cāi dé zhǔn tā de niánlíng.,Nobody can guess her age.,你们能猜到我有什么吗？,Nǐmen néng cāi dào wǒ yǒu shénme ma?,Can you guess what I have?,我猜这是我们的运气坏。,Wǒ cāi zhè shì wǒmen de yùnqì huài.,I guess it was our bad luck.
1061,材料,cáiliào,data; (raw) material,名,名 n.,noun,4,4,我们从马来西亚得到材料。,Wǒmen cóng mǎláixīyà dédào cáiliào.,We get the materials from Malaysia.,这外套是什么材料作的？,Zhè wàitào shì shénme cáiliào zuò de?,What stuff is this jacket made of?,我们把所有的材料放在一起。,Wǒmen bǎ suǒyǒu de cáiliào fàngzài yìqǐ.,We got all the materials together.
1062,参观,cānguān,to look around; to tour,动,动 v.,verb,4,4,卡罗上个月参观了波士顿。,Kǎluó shànggèyuè cānguān le bōshìdùn.,Carol visited Boston last month.,让我们明天参观一些寺庙。,Ràng wǒmen míngtiān cānguān yìxiē sìmiào.,Let's visit some temples tomorrow.,卡罗下个月将参观迈阿密。,Kǎluó xiàgèyuè jiāng cānguān màiāmì.,Carol will visit Miami next month.
1063,参赛,cānsài,to compete; to take part in a competition,动,动 v.,verb,4,4,共有二十支队伍参赛。,Gòngyǒu èrshízhī duìwǔ cānsài.,Twenty teams are taking part in the competition.,他第一次参赛就获得了第二名。,Tā dìyīcì cānsài jiù huòdé le dìèrmíng.,He won second place the first time he competed.,所有参赛选手必须按时报到。,Suǒyǒu cānsàixuǎnshǒu bìxū àn shíbào dào.,All contestants must check in on time.
1064,餐厅,cāntīng,dining hall; dining room,名,名 n.,noun,4,4,我们去了一家餐厅吃晚饭。,Wǒmen qù le yìjiā cāntīng chīwǎnfàn.,We went to a restaurant for dinner.,它一定是一家很贵的餐厅。,Tā yídìng shì yìjiā hěn guì de cāntīng.,It must be a very expensive restaurant!,这家餐厅提供纯素食菜吗？,Zhèjiā cāntīng tígōng chún sùshí cài ma?,Does this restaurant serve vegan dishes?
1065,操场,cāochǎng,playground; sports field,名,名 n.,noun,4,4,学生们正在操场上跑步。,Xuéshēng men zhèngzài cāochǎngshàng pǎobù.,The students are running on the sports field.,下课后我们去操场打球。,Xiàkèhòu wǒmen qù cāochǎng dǎqiú.,After class; we will go play ball on the sports field.,学校新建了一个很大的操场。,Xuéxiào xīnjiàn le yígè hěndà de cāochǎng.,The school built a large new sports field.
1066,厕所,cèsuǒ,toilet; lavatory,名,名 n.,noun,4,4,我能用一下你们的厕所吗？,Wǒ néng yòng yíxià nǐmen de cèsuǒ ma?,May I use your toilet?,请问这儿附近有没有厕所？,Qǐngwèn zhèér fùjìn yǒuméiyǒu cèsuǒ?,Excuse me; is there a toilet nearby?,梅纳德不能自己去上厕所。,Méinàdé bùnéngzìjǐ qù shàng cèsuǒ.,Mennad couldn't go to the toilet by himself.
1067,查看,chákàn,to look over; to examine,动,动 v.,verb,4,4,人们必须查看硬币的正反面。,Rénmen bìxū chákàn yìngbì de zhèngfǎnmiàn.,People must examine the front and back of a coin.,我可能会线上查看优惠与折扣。,Wǒ kěnéng huì xiàn shàng chákàn yōuhuì yǔ zhékòu.,I might check for sales or discounts online.,萨米查看了地方。,Sàmǐ chákàn le dìfāng.,Sami checked the place.
1068,茶叶,cháyè,tea; tea leaves,名,名 n.,noun,4,4,我们从印度进口茶叶。,Wǒmen cóng yìndù jìnkǒu cháyè.,We import tea from India.,茶叶是从中国传入的。,Cháyè shìcóng zhōngguó chuánrù de.,Tea was introduced from China.,这是一种再加工茶叶。,Zhè shì yìzhǒng zài jiāgōng cháyè.,This is a type of reprocessed tea.
1069,查找,cházhǎo,to search for; to look up,动,动 v.,verb,4,4,我正在网上查找资料。,Wǒ zhèngzài wǎngshàng cházhǎo zīliào.,I am searching for information online.,请帮我查找这个文件。,Qǐng bāng wǒ cházhǎo zhège wénjiàn.,Please help me find this file.,遇到生词时可以查找词典。,Yùdào shēngcí shí kěyǐ cházhǎo cídiǎn.,You can consult a dictionary when you encounter a new word.
1070,差点儿,chàdiǎnr,almost; nearly,形、副,形 adj.,adjective; adverb,4,4,我差点儿忘了带护照。,Wǒ chàdiǎnr wàng le dài hùzhào.,I almost forgot to bring my passport.,路上堵车，我们差点儿迟到。,Lùshang dǔchē; wǒmen chàdiǎnr chídào.,Traffic was heavy; and we were almost late.,他差点儿把杯子打破。,Tā chàdiǎnr bǎ bēizi dǎpò.,He almost broke the cup.
1071,产生,chǎnshēng,to arise; to come about,动,动 v.,verb,4,4,事故由一个简单的错误产生。,Shìgù yóu yígè jiǎndān de cuòwù chǎnshēng.,The accident arose from a simple mistake.,有些药品会对身体产生危害。,Yǒuxiē yàopǐn huì duì shēntǐ chǎnshēng wēihài.,Some medicines can be harmful to the body.,攀比心理会让人产生负面情绪。,Pānbǐ xīnlǐ huì ràng rén chǎnshēng fùmiàn qíngxù.,Having a competitive mentality can give rise to negative emotions.
1072,厂,chǎng,occurring in 原; factory,名,名 n.,noun,4,4,他在一家汽车厂工作。,Tā zài yìjiā qìchēchǎng gōngzuò.,He works at a car factory.,这座厂有很多工人。,Zhè zuò chǎng yǒu hěnduō gōngrén.,This factory has many workers.,工厂离市中心很远。,Gōngchǎng lí shìzhōngxīn hěn yuǎn.,The factory is far from the city center.
1073,场,chǎng,threshing floor; stage,量,量 m.w.,measure word,4,4,人生只不过是场梦罢了。,Rénshēng zhǐbúguò shì chǎng mèng bàle.,Life is only a dream.,你我之间需要来场谈话。,Nǐ wǒ zhījiān xūyào lái chǎng tánhuà.,You and I need to have a talk.,让我们中途下车看场电影吧。,Ràng wǒmen zhōngtúxiàchē kàn chǎng diànyǐngba.,Let's stop off and see a movie.
1074,超过,chāoguò,to surpass; to exceed,动,动 v.,verb,4,4,超过二十个男孩去了那里。,Chāoguò èrshígè nánhái qù le nàlǐ.,More than twenty boys went there.,它没有超过十二个孩子少。,Tā méiyǒu chāoguò shíèrgè háizi shǎo.,She has no more than twelve puppies.,我已经走了超过四个小时。,Wǒ yǐjīng zǒu le chāoguò sìgè xiǎoshí.,I have been walking for over four hours.
1075,车速,chēsù,vehicle speed,名,名 n.,noun,4,4,雨天开车要降低车速。,Yǔtiān kāichē yào jiàngdī chēsù.,You should reduce your driving speed on rainy days.,这条路的最高车速是每小时八十公里。,Zhè tiáo lù de zuìgāo chēsù shì měi xiǎoshí bāshí gōnglǐ.,The maximum speed on this road is eighty kilometers per hour.,交警提醒司机注意车速。,Jiāojǐng tíxǐng sījī zhùyì chēsù.,The traffic police reminded drivers to watch their speed.
1076,车位,chēwèi,parking spot; unloading point,名,名 n.,noun,4,4,这附近很难找到车位。,Zhè fùjìn hěn nán zhǎodào chēwèi.,It is difficult to find a parking space nearby.,这个车位是给客人用的。,Zhège chēwèi shì gěi kèrén yòng de.,This parking space is for guests.,请不要把车停在我的车位上。,Qǐng búyào bǎ chē tíng zài wǒ de chēwèi shàng.,Please do not park in my space.
1077,城,chéng,city walls; city,名,名 n.,noun,4,4,这座城犹太教堂不怎么多。,Zhè zuò chéng yóutàijiào táng bùzěnme duō.,There aren't that many synagogues in this city.,凤凰城是亚利桑那州的首府。,Fènghuáng chéng shì yàlìsāngnàzhōu de shǒufǔ.,Phoenix is the capital of Arizona.,我住在格罗宁根城。,Wǒ zhù zài géluónínggēn chéng.,I live in Groningen city.
1078,乘,chéng,to ride; take (a vehicle),动,动 v.,verb,4,4,我们乘地铁去市中心。,Wǒmen chéng dìtiě qù shìzhōngxīn.,We took the subway to the city center.,明天我想乘高铁去上海。,Míngtiān wǒ xiǎng chéng gāotiě qù shànghǎi.,Tomorrow I want to take the high-speed train to Shanghai.,乘公交车比打车便宜。,Chéng gōngjiāochē bǐ dǎchē piányi.,Taking the bus is cheaper than taking a taxi.
1079,成功,chénggōng,southeast Taiwan; success,动、形,动 v.,verb; adjective,4,4,我成功地得到了我想要的。,Wǒ chénggōng dì dédào le wǒ xiǎngyào de.,I succeeded in getting what I wanted.,他把他的成功归功于好运。,Tā bǎ tā de chénggōng guīgōngyú hǎoyùn.,He attributed his success to good luck.,他将他的成功归功于好运。,Tā jiāng tā de chénggōng guīgōngyú hǎoyùn.,He attributes his success to good luck.
1080,乘客,chéngkè,passenger,名,名 n.,noun,4,4,这辆计程车载了两名乘客。,Zhèliàng jìchéngchē zài le liǎngmíng chéngkè.,The taxi picked up two passengers.,98名乘客只有3人生还。,98 Míng chéngkè zhǐyǒu 3 rénshēng huán.,Only 3 out of the 98 passengers survived.,并非所有的乘客都免于受伤。,Bìngfēi suǒyǒu de chéngkè dōu miǎnyú shòushāng.,Not all of the passengers escaped injury.
1081,诚实,chéngshí,honest,形,形 adj.,adjective,4,4,诚实是他成功的主要原因。,Chéngshí shì tā chénggōng de zhǔyào yuányīn.,Honesty is the primary reason for his success.,我认为她是一个诚实的女人。,Wǒ rènwéi tā shì yígè chéngshí de nǚrén.,I think she's an honest woman.,据我所知，他是个诚实的人。,Jùwǒsuǒzhī; tā shì gè chéngshí de rén.,As far as I know; he is honest.
1082,成为,chéngwéi,to become; to turn into,动,动 v.,verb,4,4,爱你自己，成为纯素食者！,Ài nǐ zìjǐ; chéngwéi chún sùshízhě!,Love yourself. Go vegan!,我会使你成为一个男子汉。,Wǒhuì shǐ nǐ chéngwéi yígè nánzihàn.,I will make a man of you.,他会成为一个好的医生的。,Tā huì chéngwéi yígè hǎo de yīshēng de.,He will be a good doctor.
1083,乘坐,chéngzuò,to ride (in a vehicle),动,动 v.,verb,4,4,在9号站台乘坐快车。,Zài 9 hào zhàntái chéngzuò kuàichē.,Take the express train from platform 9.,我喜欢乘坐火车。,Wǒ xǐhuān chéngzuò huǒchē.,I like to ride on trains.,我从来没乘坐船。,Wǒ cónglái méi chéngzuò chuán.,I've never been on a ship.
1084,吃惊,chījīng,to be startled; to be shocked,动,动 v.,verb,4,4,你流利的英语让我很吃惊。,Nǐ liúlì de yīngyǔ ràng wǒ hěn chījīng.,I'm amazed at your fluency in English.,我听到这个消息很吃惊。,Wǒ tīngdào zhège xiāoxī hěn chījīng.,I was surprised at the news.,他的记忆力总让我吃惊。,Tā de jìyìlì zǒng ràng wǒ chījīng.,His memory never ceases to astonish me.
1085,迟,chí,late; delayed,形,形 adj.,adjective,4,4,跟往常一样，他来迟了。,Gēn wǎngcháng yíyàng; tā lái chí le.,He was late as usual.,你的租金迟交了一个月。,Nǐ de zūjīn chí jiāo le yígèyuè.,You're a month behind in your rent.,我很抱歉这么迟才回复。,Wǒ hěn bàoqiàn zhème chí cái huífù.,I'm sorry for the delay in responding.
1086,重,chóng,to repeat; repetition,副、（动）,副 adv.,adverb; verb,4,4（5）,这封信有错误，请重写一遍。,Zhè fēng xìn yǒu cuòwù; qǐng chóngxiě yí biàn.,This letter has errors; please rewrite it.,老师让他重读这段课文。,Lǎoshī ràng tā chóngdú zhè duàn kèwén.,The teacher asked him to reread this passage.,这个问题需要重新考虑。,Zhège wèntí xūyào chóngxīn kǎolǜ.,This issue needs to be reconsidered.
1087,重新,chóngxīn,again; once more,副,副 adv.,adverb,4,4,您可以给我重新做一遍吗？,Nín kěyǐ gěi wǒ chóngxīn zuò yíbiàn ma?,Can you re-do it for me?,窗帘和地毯都重新换过了。,Chuānglián hé dìtǎn dōu chóngxīn huàn guò le.,Curtains and carpets were renewed.,裁缝师要帮我重新修裤脚。,Cáiféngshī yào bāng wǒ chóngxīn xiū kùjiǎo.,The tailor is going to redo the hem of my pants.
1088,出差,chūchāi,to go on an official or business trip,动,动 v.,verb,4,4,你去国外是玩儿还是出差？,Nǐ qù guówài shì wánér háishì chūchāi?,Did you go abroad for pleasure or on business?,我爸爸经常去美国出差。,Wǒ bàbà jīngcháng qù měiguó chūchāi.,My father often goes to America on business.,他因公出差到名古屋。,Tā yīngōng chūchāi dào mínggǔwū.,He's gone to Nagoya on business.
1089,出口,chūkǒu,an exit; to speak,名、（动）,名 n.,noun; verb,4,4（5）,台湾是出口导向的经济体。,Táiwān shì chūkǒu dǎoxiàng de jīngjìtǐ.,Taiwan is an export-oriented economy.,魏公村地铁站有3个出口。,Wèigōngcūn dìtiězhàn yǒu 3 gè chūkǒu.,Weigongcun subway station has three exits.,告示牌上写著「出口」。,Gàoshìpái shàng xiě zhù 「 chūkǒu 」.,"The sign says ""Exit."""
1090,出现,chūxiàn,to appear; to arise,动,动 v.,verb,4,4,一个男的突然出现在门口。,Yígè nán de tūrán chūxiàn zài ménkǒu.,A man suddenly appeared in the doorway.,街角出现了一辆大面包车。,Jiējiǎo chūxiàn le yíliàng dà miànbāochē.,A big van appeared on the street corner.,比尔没有在派对上出现。,Bǐěr méiyǒu zài pàiduì shàng chūxiàn.,Bill didn't turn up at the party.
